capture	vector_id	power_sha256	model_id	max_abs_error_k	registered_error_k	grid_drift_k	registered_grid_drift_k	grid_status	bound_status
resnet50--gatecheck_03.npz	placed	c0b3d7aa7ec44462d1cc1050755646750579a82564801c28b16fd42ef5b7d41b	block	3.5777247830992565e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_03.npz	placed	c0b3d7aa7ec44462d1cc1050755646750579a82564801c28b16fd42ef5b7d41b	grid64-avg	0.00035247813065097944	0.01	0.15309271019998505	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	placed	c0b3d7aa7ec44462d1cc1050755646750579a82564801c28b16fd42ef5b7d41b	grid128-avg	0.00038933722134970594	0.01	0.09822298529996942	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-uniform	909f8318b97094803549b418fee44c87f781e665efebece151a5f994f8b6aec3	block	3.4418690120219253e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_03.npz	bounded-uniform	909f8318b97094803549b418fee44c87f781e665efebece151a5f994f8b6aec3	grid64-avg	0.00024466503379017013	0.01	0.08812662370002045	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-uniform	909f8318b97094803549b418fee44c87f781e665efebece151a5f994f8b6aec3	grid128-avg	0.000250680290434957	0.01	0.050572811599977285	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-random-17	afe039a62c76b1e3fb1d7c32810e1166c8bb8aecd8cbc4f2c52b60e9c1c3172f	block	3.565787665138487e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_03.npz	bounded-random-17	afe039a62c76b1e3fb1d7c32810e1166c8bb8aecd8cbc4f2c52b60e9c1c3172f	grid64-avg	0.0002600520031705855	0.01	0.27990102050000587	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-random-17	afe039a62c76b1e3fb1d7c32810e1166c8bb8aecd8cbc4f2c52b60e9c1c3172f	grid128-avg	0.00023698524307746993	0.01	0.12400295180003695	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-random-23	dc22ccb8e135de5432a3509ca6d3cf99a28d9571311502eddae31cdf65367af1	block	3.6840219763689674e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_03.npz	bounded-random-23	dc22ccb8e135de5432a3509ca6d3cf99a28d9571311502eddae31cdf65367af1	grid64-avg	0.00022133684791469932	0.01	0.2174670667999976	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-random-23	dc22ccb8e135de5432a3509ca6d3cf99a28d9571311502eddae31cdf65367af1	grid128-avg	0.00025612773879402084	0.01	0.18066465410004184	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-random-41	e720154a18e30126de5c9e5a6bfd7642242c37dc2470a0d9f6c16ae754aa67ef	block	3.488480615487788e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_03.npz	bounded-random-41	e720154a18e30126de5c9e5a6bfd7642242c37dc2470a0d9f6c16ae754aa67ef	grid64-avg	0.0001874177027048063	0.01	0.23900349839999535	0.05	REJECT	PASS
resnet50--gatecheck_03.npz	bounded-random-41	e720154a18e30126de5c9e5a6bfd7642242c37dc2470a0d9f6c16ae754aa67ef	grid128-avg	0.00014762966719672477	0.01	0.12827135980001003	0.05	REJECT	PASS
